"","Article.ID","Statement.ID","Stat.ID","Journal.ID","Reference","Link","Type.of.statistics","t","N1","N2","p","Page.number","Associated.statistics","Negative.statement","Category"
"42",37,1,1,3,"Ford, B. Q., Dmitrieva, J. O., Heller, D., Chentsova-Dutton, Y., Grossmann, I., Tamir, M., … Mauss, I. B. (2015). Culture shapes whether the pursuit of happiness predicts higher or lower well-being. Journal of Experimental Psychology: General, 144(6), 10531062. doi:10.1037/xge0000108","http://psycnet.apa.org/journals/xge/144/6/1053/","Correlation",NA,NA,NA,"0.485","1058","Although negative in direction, motivation to pursue happiness was not significantly associated with well-being in Germany, r=-.11, p=.485, CI.95: -.40, .19.","Motivation to pursue happiness predicted lower well-being in the United States, did not predict well-being in Germany, and predicted higher well-being in Russia and in East Asia.","Incorrect-frequentist  current sample"
"43",38,1,1,3,"Foroughi, C. K., Werner, N. E., Barragán, D., & Boehm-Davis, D. A. (2015). Interruptions disrupt reading comprehension. Journal of Experimental Psychology: General, 144(3), 704.","http://psycnet.apa.org/journals/xge/144/3/704.pdf&productCode=pa&uid=2015-15250-001","Post-hoc T-Test",NA,NA,NA,NA,"707","Tests of simple main effects within recognition questions showed no significant difference between the interruption (M = 6.46, SD = 1.28, 95% Cl [5.92,7.00]) and no-interruption conditions (M = 6.50, SD = 1.14, 95% Cl [6.01, 6.98]), p > .249.","In Experiment 2, interruptions disrupted reading comprehension but not recognition of information from the text.","Incorrect-frequentist  current sample"
"44",39,1,1,3,"Forstmann, M., & Burgmer, P. (2015). Adults are intuitive mind-body dualists. Journal of Experimental Psychology: General, 144(1), 222235. https://doi.org/10.1037/xge0000045
","http://psycnet.apa.org/journals/xge/144/1/222/","ANOVA",NA,NA,NA,"0.946","228","In line with our reasoning, no significant Robot X Dimension interaction emerged, F(1, 54) = 0.01, p = .946.","Over 8 studies, using various thought experiment paradigms, participants reliably ascribed to a physically duplicated being a greater retention of physical than of mental properties. This difference was unrelated to whether or not this being was given a proper name (Study 1b) and was only found for entities that were considered to actually possess a mind (Study 1c).","Incorrect-frequentist  current sample"
"45",39,1,2,3,"Forstmann, M., & Burgmer, P. (2015). Adults are intuitive mind-body dualists. Journal of Experimental Psychology: General, 144(1), 222235. https://doi.org/10.1037/xge0000045
","http://psycnet.apa.org/journals/xge/144/1/222/","Paired Samples T-Test","0.07",55,NA,".944","228","More precisely, differences between ascribed computational and physical properties were not significantly different between original (M = 0.38, SD = 0.84) and duplicate robot (M = 0.39, SD = 0.96), t(54) = 0.07, p > .9.","Over 8 studies, using various thought experiment paradigms, participants reliably ascribed to a physically duplicated being a greater retention of physical than of mental properties. This difference was unrelated to whether or not this being was given a proper name (Study 1b) and was only found for entities that were considered to actually possess a mind (Study 1c).","Incorrect-frequentist  current sample"
"46",39,1,3,3,"Forstmann, M., & Burgmer, P. (2015). Adults are intuitive mind-body dualists. Journal of Experimental Psychology: General, 144(1), 222235. https://doi.org/10.1037/xge0000045
","http://psycnet.apa.org/journals/xge/144/1/222/","Paired Samples T-Test","0.23",55,NA,".819","228","Further, there was no difference between ascriptions of retained computational (M = 6.33, SD = 1.08) versus physical attributes (M = 6.31, SD = 1.00) for the original robot, t(54) = 0.23, p > .8, and likewise no difference between ascriptions of retained computational (M = 5.94, SD = 1.38) versus physical attributes (M = 5.93, SD = 1.31) for the duplicate robot, t(54) = 0.07, p > .9.","Over 8 studies, using various thought experiment paradigms, participants reliably ascribed to a physically duplicated being a greater retention of physical than of mental properties. This difference was unrelated to whether or not this being was given a proper name (Study 1b) and was only found for entities that were considered to actually possess a mind (Study 1c).","Incorrect-frequentist  current sample"
"47",39,1,4,3,"Forstmann, M., & Burgmer, P. (2015). Adults are intuitive mind-body dualists. Journal of Experimental Psychology: General, 144(1), 222235. https://doi.org/10.1037/xge0000045
","http://psycnet.apa.org/journals/xge/144/1/222/","Paired Samples T-Test","0.07",55,NA,".944","228","Further, there was no difference between ascriptions of retained computational (M = 6.33, SD = 1.08) versus physical attributes (M = 6.31, SD = 1.00) for the original robot, t(54) = 0.23, p > .8, and likewise no difference between ascriptions of retained computational (M = 5.94, SD = 1.38) versus physical attributes (M = 5.93, SD = 1.31) for the duplicate robot, t(54) = 0.07, p > .9.","Over 8 studies, using various thought experiment paradigms, participants reliably ascribed to a physically duplicated being a greater retention of physical than of mental properties. This difference was unrelated to whether or not this being was given a proper name (Study 1b) and was only found for entities that were considered to actually possess a mind (Study 1c).","Incorrect-frequentist  current sample"
"48",40,1,1,1,"Freud, E., Avidan, G., & Ganel, T. (2014). The highs and lows of object impossibility: effects of spatial frequency on holistic processing of impossible objects. Psychonomic Bulletin & Review, 22(1), 297306. https://doi.org/10.3758/s13423-014-0678-2
","http://link.springer.com/article/10.3758/s13423-014-0678-2","ANOVA",NA,NA,NA,"0.23","301","A repeated measures analysis of variance (ANOVA) revealed a significant three-way interaction between object type, frequency, and block [F(1, 29) = 5.9, MSE = 2733, <U+03B7>p2 = .17, p < .05]. Particularly, Garner interference was found in the LSF condition for both possible (29 ms) [F(1, 29) = 7.29, p < .05] and impossible (47 ms) [F(1, 29) = 15.4, p < .001] objects, and planned comparison revealed no differences in Garner interference between the two object types [F(1, 29) = 1.4, p = .23].","For images containing only LSF, similar interference effects were observed for possible and impossible objects, indicating that the two object categories were processed in a holistic manner. In contrast, for the HSF images, Garner interference was obtained only for possible, but not for impossible objects. Importantly, we provided evidence to show that this effect could not be attributed to a lack of sensitivity to object possibility in the LSF images.","Correct-frequentist"
"49",41,1,1,2,"Gino, F., Kouchaki, M., & Galinsky, A. D. (2015). The Moral Virtue of Authenticity: How Inauthenticity Produces Feelings of Immorality and Impurity. Psychological Science, 26(7), 983996. http://doi.org/10.1177/0956797615575277
","http://pss.sagepub.com/content/26/7/983.abstract","Wald test",NA,NA,NA,"0.2","8","When feelings of impurity and psychological discomfort were included in the equation (in addition to the dummies for the failure condition and the inauthenticity condition), the effect of inauthenticity on helping was reduced (from b = -0.97, SE = 0.35, Wald = 7.63, p = .006, to b = 0.37, SE<U+2009>= 0.49, Wald = 0.57, p = .45). Feelings of impurity predicted helping (b = 0.38, SE = 0.11, Wald = 12.25, p < .001), but psychological discomfort did not (b = 0.14, SE<U+2009>= 0.11, Wald = 1.67, p = .20).","The observed effects on desire for cleansing were not driven by general negative experiences (i.e., failing a test) but were unique to experiences of inauthenticity.","Incorrect-frequentist  current sample"
"50",42,1,1,3,"Glick, D. M., & Orsillo, S. M. (2015). An investigation of the efficacy of acceptance-based behavioral therapy for academic procrastination. Journal of Experimental Psychology: General, 144(2), 400409. https://doi.org/10.1037/xge0000050
","http://psycnet.apa.org/journals/xge/144/2/400/","Independent Samples T-Test","0.06",69,49,"0.95","405","However, there were no differences between the TM condition (M=2.77, SD=4.84) and the ABBT condition (M=2.72, SD=4.34; t=.06, p=.95, d=.01) on the Ideal/Actual ratio constructed to measure behavioral procrastination.","Although a trend suggested that time management intervention participants completed more reading, no group differences in procrastination were revealed.","Correct-frequentist"
"51",43,1,1,1,"Godwin, H. J., Menneer, T., Cave, K. R., Thaibsyah, M., & Donnelly, N. (2014). The effects of increasing target prevalence on information processing during visual search. Psychonomic Bulletin & Review, 22(2), 469475. https://doi.org/10.3758/s13423-014-0686-2
","http://link.springer.com/article/10.3758/s13423-014-0686-2","ANOVA",NA,NA,NA,"0.2","472","The ANOVA for this measure did not reach significance [F(2, 27)=1.67, p=.2, ges = .1].","Increased prevalence primarily influenced search by increasing the time spent examining objects in the display, rather than by increasing the proportion of objects examined in each display.","Incorrect-frequentist  current sample"
"52",44,1,1,1,"Gollan, T. H., Starr, J., & Ferreira, V. S. (2014). More than use it or lose it: The number-of-speakers effect on heritage language proficiency. Psychonomic Bulletin & Review, 22(1), 147155. https://doi.org/10.3758/s13423-014-0649-7
","http://link.springer.com/article/10.3758/s13423-014-0649-7","T-Test for slopes",NA,NA,NA,"0.18","151","Surprisingly, frequency of English use in childhood did not explain unique variance, ß = -.14, p = .18 (although frequency was significant when we included all of the same predictors except for the primary caregiver’s English proficiency, ß = -.25, p = .03).","HL picture-naming ability correlated positively with the number of different HL speakers participants spoke to as children, independently of each language’s frequency of use, and without negatively affecting English picture-naming ability.","Incorrect-frequentist  current sample"
"53",45,1,1,3,"Gomes, C. M., & McCullough, M. E. (2015). The effects of implicit religious primes on dictator game allocations: A preregistered replication experiment. Journal of Experimental Psychology: General, 144(6), e94e104. doi:10.1037/xge0000027","http://psycnet.apa.org/journals/xge/144/6/e94/","Independent Samples T-Test","0.63",108,108,"0.53","e99","T test analyses showed that the differences between the control condition and the two religious conditions, and between the SRP condition and the ERP condition, were not statistically significant (control vs. SRP: t(214)=0.63, p=.53, mean difference (MD) $0.21, 95% CI [$0.45, $0.88], g=0.059; control versus ERP: t(228)=0.58,p=.56, MD=0.21, 95% CI [$0.91, $0.49], g=0.058); SRP versus ERP: t(193)=1.17,p=.24, MD=0.42, 95% CI [$1.13, $0.29], g=0.11).","We did not find a statistically significant effect for religious priming.","Correct-frequentist"
"54",45,1,2,3,"Gomes, C. M., & McCullough, M. E. (2015). The effects of implicit religious primes on dictator game allocations: A preregistered replication experiment. Journal of Experimental Psychology: General, 144(6), e94e104. doi:10.1037/xge0000027","http://psycnet.apa.org/journals/xge/144/6/e94/","Independent Samples T-Test","0.58",115,115,"0.56","e99","Ttest analyses showed that the differences between the control condition and the two religious conditions, and between the SRP condition and the ERP condition, were not statistically significant (control vs. SRP: t(214)=0.63, p=.53, mean difference (MD) $0.21, 95% CI [$0.45, $0.88], g=0.059; control versus ERP: t(228)=0.58,p=.56, MD=0.21, 95% CI [$0.91, $0.49], g=0.058); SRP versus ERP: t(193)=1.17,p=.24, MD=0.42, 95% CI [$1.13, $0.29], g=0.11).","We did not find a statistically significant effect for religious priming.","Correct-frequentist"
"55",45,1,3,3,"Gomes, C. M., & McCullough, M. E. (2015). The effects of implicit religious primes on dictator game allocations: A preregistered replication experiment. Journal of Experimental Psychology: General, 144(6), e94e104. doi:10.1037/xge0000027","http://psycnet.apa.org/journals/xge/144/6/e94/","Independent Samples T-Test","1.17",97,98,"0.24","e99","Ttest analyses showed that the differences between the control condition and the two religious conditions, and between the SRP condition and the ERP condition, were not statistically significant (control vs. SRP: t(214)=0.63, p=.53, mean difference (MD) $0.21, 95% CI [$0.45, $0.88], g=0.059; control versus ERP: t(228)=0.58,p=.56, MD=0.21, 95% CI [$0.91, $0.49], g=0.058); SRP versus ERP: t(193)=1.17,p=.24, MD=0.42, 95% CI [$1.13, $0.29], g=0.11).","We did not find a statistically significant effect for religious priming.","Correct-frequentist"
"56",46,1,1,2,"Grant, K.-A., Sandman, C. A., Wing, D. A., Dmitrieva, J., & Davis, E. P. (2015). Prenatal Programming of Postnatal Susceptibility to Memory Impairments: A Developmental Double Jeopardy. Psychological Science, 26(7), 10541062. http://doi.org/10.1177/0956797615580299
","http://pss.sagepub.com/content/26/7/1054.abstract","T-Test for slopes",NA,NA,NA,NA,"5","A significant main effect of glucocorticoid treatment was not present for general cognitive ability, expressive language, or memory (see Table 3; ps<U+2009>> .10).","General intellectual functioning and expressive language were not affected by fetal glucocorticoid exposure.","Incorrect-frequentist  current sample"
"57",47,1,1,1,"Gray, R., & Canal-Bruland, R. (2015). Attentional focus, perceived target size, and movement kinematics under performance pressure. Psychonomic Bulletin & Review, 22(6), 16921700. doi:10.3758/s13423-015-0838-z","http://link.springer.com/article/10.3758/s13423-015-0838-z","Post-hoc T-Test",NA,NA,NA,NA,"1697","All other comparisons were not significant. (3x)","There were no significant changes in any of these variables for the Clutch group.","Correct-frequentist"
"58",48,1,1,1,"Gunseli, E., van Moorselaar, D., Meeter, M., & Olivers, C. N. L. (2015). The reliability of retro-cues determines the fate of noncued visual working memory representations. Psychonomic Bulletin & Review, 22(5), 13341341. doi:10.3758/s13423-014-0796-x","http://link.springer.com/article/10.3758/s13423-014-0796-x","Planned Comparision T-Test",NA,NA,NA,"0.58","1337","Planned comparisons showed that both the validity benefit (i.e., the difference between valid and neutral trials), t(19) = 2.32, p=.032, and the invalidity cost was significant for the 80 %-valid condition, t(19) = 4.67, p < .001, but not for the 50 %-valid condition, t(19) = 0.56, p = .580.","Reconciling previous contradictory findings, benefits for valid cues were observed in all conditions, but invalid cueing costs were found only when the retro-cue had a high reliability (i.e., was 80 % valid), but not when it had a lower reliability (i.e., 50 % valid).","Incorrect-frequentist  current sample"
"59",49,1,1,3,"Haberman, J., Brady, T. F., & Alvarez, G. A. (2015). Individual differences in ensemble perception reveal multiple, independent levels of ensemble representation. Journal of Experimental Psychology: General, 144(2), 432446. https://doi.org/10.1037/xge0000053
","http://psycnet.apa.org/journals/xge/144/2/432/","Correlation",NA,NA,NA,"0.72","436","In contrast, the top panel of Figure 3 shows that the correlations across feature domains (orientation task to face task) were weak both for individual judgments (individual orientation vs. individual face, r = .04, p = .81; 95% Cl [—0.25, 0.31]), and for ensemble judgments (ensemble orientation vs. ensemble face, r = .05, p = .72; 95% Cl [-0.23, 0.34]).","High-level ensemble representations (e.g., average facial expression) showed complete independence from low-level ensemble representations (e.g., average orientation).","Incorrect-frequentist  current sample"
"60",50,1,1,1,"Hale, R. G., Brown, J. M., McDunn, B. A., & Siddiqui, A. P. (2015). An influence of extremal edges on boundary extension. Psychonomic Bulletin & Review, 22(4), 961966.","http://link.springer.com/article/10.3758/s13423-014-0751-x","Paired Samples T-Test","0.61",54,NA,"0.272234","964","Finally, for the 40 % size change condition with extremal edges, CC (.341) was significantly less than zero, t(53) = 6.13, p < .001; WW (.289) was again significantly greater than zero, t(53) = 5.17, p < .001; and the absolute values of CW (.464) and WC (.604) were no longer significantly different, t(53) = 1.67, p > .05.; (...) The 40 % size change condition with extremal edges met both normalization criteria that we previously defined, with both CC and WW [t(53) = 0.61, p > .05] and CW and WC [t(53) = 1.67, p > .05] being symmetric (i.e., neither was significantly asymmetric).","With extremal edges, a reduced amount of boundary extension occurred for the 16 % condition, and only normalization was found for the 40 % condition.","Correct-frequentist"
"61",50,1,2,1,"Hale, R. G., Brown, J. M., McDunn, B. A., & Siddiqui, A. P. (2015). An influence of extremal edges on boundary extension. Psychonomic Bulletin & Review, 22(4), 961966.","http://link.springer.com/article/10.3758/s13423-014-0751-x","Paired Samples T-Test","1.67",54,NA,"0.057772","964","Finally, for the 40 % size change condition with extremal edges, CC (.341) was significantly less than zero, t(53) = 6.13, p < .001; WW (.289) was again significantly greater than zero, t(53) = 5.17, p < .001; and the absolute values of CW (.464) and WC (.604) were no longer significantly different, t(53) = 1.67, p > .05.; (...) The 40 % size change condition with extremal edges met both normalization criteria that we previously defined, with both CC and WW [t(53) = 0.61, p > .05] and CW and WC [t(53) = 1.67, p > .05] being symmetric (i.e., neither was significantly asymmetric).","With extremal edges, a reduced amount of boundary extension occurred for the 16 % condition, and only normalization was found for the 40 % condition.","Correct-frequentist"
"62",51,1,1,1,"Halvorson, K. M., & Hazeltine, E. (2015). Do small dual-task costs reflect ideomotor compatibility or the absence of crosstalk? Psychonomic Bulletin & Review, 22(5), 14031409. doi:10.3758/s13423-015-0813-8","http://link.springer.com/article/10.3758/s13423-015-0813-8","ANOVA",NA,NA,NA,NA,"1407","The intercept was not significant, F<1, indicating no significant dual-task costs across groups.","Nonetheless, reversed tasks were performed without costs even when paired with an unreversed task. This finding suggests that the separation of the central codes across tasks (e.g., Wickens, 1984) is more critical than the specific S-R relationships; dual-task costs can be avoided when the tasks engage distinct modality-based systems.","Incorrect-frequentist  whole population"
"63",52,1,1,2,"Hertel, P. T., & Hayes, J. A. (2015). Distracted by Cues for Suppressed Memories. Psychological Science, 26(6), 775783. http://doi.org/10.1177/0956797615570711
","http://pss.sagepub.com/content/26/6/775.abstract","Post-hoc T-Test",NA,NA,NA,"0.607","6","However, the distraction effect (baseline vs. suppression flankers) was significant in the direct-suppression condition, t(20)<U+2009>= <U+2009>3.03, p<U+2009>= .007, d = 1.08, confidence interval (CI) = [38.0, 205.5], and not in the substitution condition, t(20) = 0.52, p = .607, d = 0.16, CI = [-96.3, 57.7].","Responses to the targets were delayed when suppression cues (compared with baseline cues and new negative homographs) were used as flankers, but only following direct-suppression instructions and not when benign substitutes had been provided to aid suppression.[...]Finally, valence ratings of neutral targets were influenced by the valence of the flankers but not by the prior role of the negative flankers.","Incorrect-frequentist  current sample"
"64",53,1,1,1,"Hesslinger, V. M., Goldbach, L., & Carbon, C.-C. (2015). Men in red: A reexamination of the red-attractiveness effect. Psychonomic Bulletin & Review, 22(4), 11421148.","http://link.springer.com/article/10.3758/s13423-015-0866-8","Independent Samples T-Test","0.92",44,45,"0.36","1145","Participants in both color conditions gave comparable ratings of perceived attractiveness (condition red: M = 5.71, SD = 1.70; conditionwhite: M = 5.39, SD = 1.53) with the small difference between the average ratings not being statistically significant, t(87) = 0.92, p = 0.360, ns.","We did not find any significant impact of red in either of the studies.; Our results question the robustness and the ecological validity of Elliot et al.’s finding.","Correct-frequentist"
"65",53,1,2,1,"Hesslinger, V. M., Goldbach, L., & Carbon, C.-C. (2015). Men in red: A reexamination of the red-attractiveness effect. Psychonomic Bulletin & Review, 22(4), 11421148.","http://link.springer.com/article/10.3758/s13423-015-0866-8","Independent Samples T-Test","0.24",35,37,"0.81","1145","Again, there was no significant effect of color condition on perceived attractiveness, neither for the female (red: n = 35, M = 5.71, SD = 1.65; white: n = 37, M = 5.62, SD = 1.44) nor the male participants (red: n = 9, M = 5.70, SD = 2.02; white: n = 8, M = 4.33, SD = 1.59), t (70) = 0.24, p = 0.810, ns, and t(15) = 1.54, p = 0.144, ns, respectively.","We did not find any significant impact of red in either of the studies.; Our results question the robustness and the ecological validity of Elliot et al.’s finding.","Correct-frequentist"
"66",53,1,3,1,"Hesslinger, V. M., Goldbach, L., & Carbon, C.-C. (2015). Men in red: A reexamination of the red-attractiveness effect. Psychonomic Bulletin & Review, 22(4), 11421148.","http://link.springer.com/article/10.3758/s13423-015-0866-8","Independent Samples T-Test","1.54",9,8,"0.144","1145","Again, there was no significant effect of color condition on perceived attractiveness, neither for the female (red: n = 35, M = 5.71, SD = 1.65; white: n = 37, M = 5.62, SD = 1.44) nor the male participants (red: n = 9, M = 5.70, SD = 2.02; white: n = 8, M = 4.33, SD = 1.59), t (70) = 0.24, p = 0.810, ns, and t(15) = 1.54, p = 0.144, ns, respectively.","We did not find any significant impact of red in either of the studies.; Our results question the robustness and the ecological validity of Elliot et al.’s finding.","Correct-frequentist"
"67",54,1,1,3,"Hirst, W., Phelps, E. A., Meksin, R., Vaidya, C. J., Johnson, M. K., Mitchell, K. J., … Lustig, C. (2015). A ten-year follow-up of a study of memory for the attack of September 11, 2001: Flashbulb memories and memories for flashbulb events. Journal of Experimental Psychology: General, 144(3), 604.","http://psycnet.apa.org/journals/xge/144/3/604.pdf&productCode=pa&uid=2015-09755-001","Post-hoc T-Test/PC",NA,NA,NA,"0.06","611","In follow-up analyses, we found a significant difference between the total consistency scores for responses on Survey 2 and those reported on Survey 3, t(201) = 4.07, p<.001, d=0.33, confidence interval (CI) [.03, .09], but not between Survey 3 and Survey 4, t(201) = 1.92, p = .06, d = 0.16, Cl [-.07, .00].","There was rapid forgetting of both flashbulb and event memories within the first year, but the forgetting curves leveled off after that, not significantly changing even after a 10-year delay. /.../ The findings suggest that even traumatic memories and those implicated in a community’s collective identity may be inconsistent over time and these inconsistencies can persist without the corrective force of external influences.","Incorrect-frequentist  whole population"
"68",55,1,1,2,"Jirout, J. J., & Newcombe, N. S. (2015). Building Blocks for Developing Spatial Skills: Evidence From a Large, Representative U.S. Sample. Psychological Science, 26(3), 302310. http://doi.org/10.1177/0956797614563338
","http://pss.sagepub.com/content/26/3/302.abstract","ANCOVA",NA,NA,NA,NA,"305","We reran the ANCOVA with frequency of play with puzzles, blocks, and board games as the only independent variable in order to test the full-factorial model (i.e., including interaction terms with gender and SES), and we observed the same results, with no significant interactions (ps > .18).","Using a large, nationally representative sample from the standardization study of the Wechsler Preschool and Primary Scale of IntelligenceFourth Edition, and controlling for other cognitive abilities, we observed a specific relation between parent-reported frequency of spatial play and Block Design scores that was invariant across gender and SES.","Incorrect-frequentist  current sample"
"69",56,1,1,1,"Kaiser, D., Stein, T., & Peelen, M. V. (2015). Real-world spatial regularities affect visual working memory for objects. Psychonomic Bulletin & Review, 22(6), 17841790. doi:10.3758/s13423-015-0833-4","http://link.springer.com/article/10.3758/s13423-015-0833-4","Paired Samples T-Test","0.29",38,NA,"0.77","1787","For the inverted pairs, we observed no significant difference in sensitivity between the two pair configurations, t < 1.","This effect was specific to upright stimuli, indicating that it did not reflect low-level grouping, because low-level grouping would be expected to equally affect memory for upright and inverted displays. These results suggest that objects can be held in visual working memory more efficiently when they are positioned according to frequently experienced real-world regularities.","Incorrect-frequentist  whole population"
"70",57,1,1,2,"Kang, M.-S., & Choi, J. (2015). Retrieval-Induced Inhibition in Short-Term Memory. Psychological Science, 0956797615577358. https://doi.org/10.1177/0956797615577358","http://pss.sagepub.com/content/26/7/1014.abstract","ANOVA",NA,NA,NA,NA,"1021","However, direction bias did not change with retention interval at all, such that the main effect of retention interval was not significant, F(1, 13) = 0.968, p = .343, and retention interval did not interact significantly with any other factors, F(1, 13) < 0.902, p > .36.","This retrieval-induced motion repulsion could be explained neither by reduced cognitive resources for maintaining short-term memory nor by continued inhibition between short-term memory representations.","Correct-frequentist"
"71",57,1,2,2,"Kang, M.-S., & Choi, J. (2015). Retrieval-Induced Inhibition in Short-Term Memory. Psychological Science, 0956797615577358. https://doi.org/10.1177/0956797615577358
","http://pss.sagepub.com/content/early/2015/05/19/0956797615577358.abstract","ANOVA",NA,NA,NA,"0.343","1021","However, direction bias did not change with retention interval at all, such that the main effect of retention interval was not significant, F(1, 13) = 0.968, p = .343, and retention interval did not interact significantly with any other factors, F(1, 13) < 0.902, p > .36.","This retrieval-induced motion repulsion could be explained neither by reduced cognitive resources for maintaining short-term memory nor by continued inhibition between short-term memory representations.","Correct-frequentist"
"72",58,1,1,1,"Keane, B. P., Kastner, S., Paterno, D., & Silverstein, S. M. (2014). Is 20/20 vision good enough? Visual acuity differences within the normal range predict contour element detection and integration. Psychonomic Bulletin & Review, 22(1), 121127. https://doi.org/10.3758/s13423-014-0647-9
","http://link.springer.com/article/10.3758/s13423-014-0647-9","ANOVA",NA,NA,NA,"0.951","124","More importantly, the collinear facilitation effect was independent of VA [F(1,18) < 0.1, p = .951, <U+03B7>p2 < .001].","Moreover, although the two groups exhibited similar collinear facilitation, SharpPerceivers could detect the central target with lower contrast at high spatial frequencies (p <. 05).","Incorrect-frequentist  current sample"
"73",59,1,1,1,"Kelly, S., Healey, M., Özyürek, A., & Holler, J. (2014). The processing of speech, gesture, and action during language comprehension. Psychonomic Bulletin & Review, 22(2), 517523. https://doi.org/10.3758/s13423-014-0681-7
","http://link.springer.com/article/10.3758/s13423-014-0681-7","Planned Comparision T-Test",NA,NA,NA,NA,"521","Congruent gesturespeech stimuli produced fewer errors (M = 2.6%) than did incongruent stimuli (M = 4.8%), t1(61) = 5.38, p < .001; t2(57) = 3.56, p < .001, whereas in the action condition, no differences were visible between congruent and incongruent actionspeech stimuli, t1(61) = 1.34, n.s.; t2(57) = 0.73, n.s. Refer to Fig. 2.","For all subjects, stimuli in which the gestures and actions were incongruent with the speech produced more errors and longer response times than did stimuli that were congruent, but this effect was less prominent for speechaction stimuli than for speechgesture stimuli.","Incorrect-frequentist  current sample"
"74",60,1,1,1,"Kessler, Y., & Oberauer, K. (2015). Forward scanning in verbal working memory updating. Psychonomic Bulletin & Review, 22(6), 17701776. doi:10.3758/s13423-015-0853-0","http://link.springer.com/article/10.3758/s13423-015-0853-0","Bayesian analysis",NA,NA,NA,"0.46",NA,"When comparing the fits of the best-fitting models, compelling evidence was observed favoring the model fit to the reading-direction-recoded data, BF = 1.14 × 1035.","The SGS model fit the data only when the scanning direction was taken into account, establishing the role of item-based forward scanning during WM updating.","Bayesian-analysis"
"75",61,1,1,1,"Kidd, E., Tennant, E., & Nitschke, S. (2015). Shared abstract representation of linguistic structure in bilingual sentence comprehension. Psychonomic Bulletin & Review, 22(4), 10621067.","http://link.springer.com/article/10.3758/s13423-014-0775-2","Post-hoc T-Test/PC",NA,NA,NA,NA,"1065","Figure 2 shows that the proportion of object RC interpretations in the baseline condition and following English subject RC primes was similar (Mbaseline = .54, MSubRC = .56), but was higher following English object RC primes (MObjRC = .65).","The results showed that English object RCs primed significantly greater object RC interpretations in German in comparison to baseline and subject RC prime conditions, but that English subject RC primes did not change the participants’ baseline preferences.","Incorrect-frequentist  current sample"
"76",62,1,1,3,"Kogut, T., Slovic, P., & Västfjäll, D. (2015). Scope insensitivity in helping decisions: Is it a matter of culture and values? Journal of Experimental Psychology: General, 144(6), 10421052. doi:10.1037/a0039708","http://psycnet.apa.org/journals/xge/144/6/1042/","ANOVA",NA,NA,NA,"0.91","1045","As can be seen in Figure 1, simple effect tests revealed that the single victim received significantly higher contributions (M=.91, SD=.38) than the group of victims (M=.56, SD=.49) only for Western Israeli subjects (p=.004, effect size d=.80), but not for the Bedouins participants (single victims, M=.72, SD=.46; groups, M=.71, SD=.42; p=.91, effect size d=.04).","In the first study, the singularity effect was found only among Western Israelis and not among Bedouin participants (a more collectivist group).","Correct-frequentist"
"77",63,1,1,1,"Koop, G. J., Criss, A. H., & Malmberg, K. J. (2014). The role of mnemonic processes in pure-target and pure-foil recognition memory. Psychonomic Bulletin & Review, 22(2), 509516. https://doi.org/10.3758/s13423-014-0703-5
","http://link.springer.com/article/10.3758/s13423-014-0703-5","Independent Samples T-Test","0.26",36,36,"0.798","511","As is readily apparent in the first column of Table 1, neither the HR, t(76) = 0.19, p = .847, nor the FAR, t(70) = 0.26, p = .798, differed between pure and standard test lists for Experiment 1, indicating insensitivity to test composition without feedback.","When no feedback was provided, performance was nearly identical for standard and pure test lists, replicating previous findings. Only in the presence of accurate feedback were participants able to successfully adapt to pure list environments and improve their accuracy.","Incorrect-frequentist  current sample"
"78",63,1,2,1,"Koop, G. J., Criss, A. H., & Malmberg, K. J. (2014). The role of mnemonic processes in pure-target and pure-foil recognition memory. Psychonomic Bulletin & Review, 22(2), 509516. https://doi.org/10.3758/s13423-014-0703-5
","http://link.springer.com/article/10.3758/s13423-014-0703-5","Independent Samples T-Test","0.19",39,39,"0.847","511-512","As is readily apparent in the first column of Table 1, neither the HR, t(76) = 0.19, p = .847, nor the FAR, t(70) = 0.26, p = .798, differed between pure and standard test lists for Experiment 1, indicating insensitivity to test composition without feedback.","When no feedback was provided, performance was nearly identical for standard and pure test lists, replicating previous findings. Only in the presence of accurate feedback were participants able to successfully adapt to pure list environments and improve their accuracy.","Incorrect-frequentist  current sample"
"79",64,1,1,2,"Kret, M. E., Fischer, A. H., & Dreu, C. K. W. D. (2015). Pupil Mimicry Correlates With Trust in In-Group Partners With Dilating Pupils. Psychological Science, 26(9), 14011410. http://doi.org/10.1177/0956797615588306
","http://journals.sagepub.com/doi/abs/10.1177/0956797615588306","Correlation",NA,NA,NA,NA,"1407","We observed that constriction mimicry did not correlate with partner-pupil contingent distrust.","Results showed that (a) participants trusted partners with dilating pupils and withheld trust from partners with constricting pupils, (b) participants’ pupils mimicked changes in their partners’ pupils, and (c) dilation mimicry predicted trust in in-group partners, whereas constriction mimicry did not.","Correct-frequentist"
